Step 0 | Training Loss: 1.7997962686750624
Step 0 | Test Loss: 1.5402395725250244
Step 1 | Training Loss: 1.3843711455663046
Step 1 | Test Loss: 1.494752287864685
Step 2 | Training Loss: 1.370344919628567
Step 2 | Test Loss: 1.484067678451538
Step 3 | Training Loss: 1.3733708633316888
Step 3 | Test Loss: 1.4696329832077026
Step 4 | Training Loss: 1.3638596733411152
Step 4 | Test Loss: 1.4601072072982788
Step 5 | Training Loss: 1.331477861934238
Step 5 | Test Loss: 1.4495238065719604
Step 6 | Training Loss: 1.3325850791401332
Step 6 | Test Loss: 1.461412787437439
Step 7 | Training Loss: 1.3365172823270162
Step 7 | Test Loss: 1.4501757621765137
Step 8 | Training Loss: 1.31741267575158
Step 8 | Test Loss: 1.4408029317855835
Step 9 | Training Loss: 1.3286766409873962
Step 9 | Test Loss: 1.4171537160873413
Step 10 | Training Loss: 1.300968721177843
Step 10 | Test Loss: 1.4380782842636108
Step 11 | Training Loss: 1.3102088888486227
Step 11 | Test Loss: 1.418710708618164
Step 12 | Training Loss: 1.2966092069943747
Step 12 | Test Loss: 1.3891464471817017
Step 13 | Training Loss: 1.2919796996646458
Step 13 | Test Loss: 1.3561073541641235
Step 14 | Training Loss: 1.2842058605617948
Step 14 | Test Loss: 1.358357310295105
Step 15 | Training Loss: 1.2693989356358846
Step 15 | Test Loss: 1.3474756479263306
Step 16 | Training Loss: 1.2888106438848708
Step 16 | Test Loss: 1.325258731842041
Step 17 | Training Loss: 1.2541944556766087
Step 17 | Test Loss: 1.365374207496643
Step 18 | Training Loss: 1.254901107152303
Step 18 | Test Loss: 1.278459072113037
Step 19 | Training Loss: 1.2474782427151998
Step 19 | Test Loss: 1.2745383977890015
Step 20 | Training Loss: 1.2367225276099312
Step 20 | Test Loss: 1.3410695791244507
Step 21 | Training Loss: 1.2460309187571208
Step 21 | Test Loss: 1.3160271644592285
Step 22 | Training Loss: 1.2333535565270317
Step 22 | Test Loss: 1.3186331987380981
Step 23 | Training Loss: 1.2294420851601495
Step 23 | Test Loss: 1.3580818176269531
Step 24 | Training Loss: 1.2339604457219442
Step 24 | Test Loss: 1.253431797027588
Step 25 | Training Loss: 1.2104796131451925
Step 25 | Test Loss: 1.358263611793518
Step 26 | Training Loss: 1.221124937799242
Step 26 | Test Loss: 1.2596848011016846
Step 27 | Training Loss: 1.2121879431936475
Step 27 | Test Loss: 1.2678296566009521
Step 28 | Training Loss: 1.2008876005808513
Step 28 | Test Loss: 1.2406394481658936
Step 29 | Training Loss: 1.2040067156155905
Step 29 | Test Loss: 1.4202243089675903
Step 30 | Training Loss: 1.221916060977512
Step 30 | Test Loss: 1.2937755584716797
Step 31 | Training Loss: 1.210158219602373
Step 31 | Test Loss: 1.2716726064682007
Step 32 | Training Loss: 1.1836426337560018
Step 32 | Test Loss: 1.2562512159347534
