#  idx_gal   shID  Ngali  Ngalf    Rij(kpc)  size(kpc)  sigm(km/s)  Pmin(ds)    GrNr    x(kpc)    y(kpc)   V_LOS(km/s)
      0        0      4      4       69.93     150.64     854.28     0.4300      40       0.00       0.00    -219.30
      1        1      3      3     2975.72     200.17     201.26     0.0860       8   -2948.39    -424.07    -998.71
      2        2      3      3      752.32     186.53     825.56     0.0260      10    -695.33     351.68   -1807.83
      3        3      0      0        0.00       0.00       0.00    -1.0000      -1     483.57   -1010.28   -1393.81
      4        4      3      3     1057.57     270.12     186.08     0.0160       9   -1082.65    -411.70     784.92
      5        5      3      3     3818.56     485.11     127.44     0.0300       7   -3965.92    -479.42   -1196.41
      6        6      0      0        0.00       0.00       0.00    -1.0000      -1    -748.04    -622.79   -1424.73
      7        7      0      0        0.00       0.00       0.00    -1.0000      -1   -1017.36     750.39    -402.53
      8        8      3      3     1391.28     494.35      98.96     0.0120      23    -319.55   -1318.14     541.58
      9        9      3      3     3139.28     169.72     223.80     0.0380       6    2760.20     456.24     421.10
     10       10      3      3     2016.38      77.46     317.93     0.0860      11    1995.23     -92.28     319.65
     11       11      3      3      359.01     135.11     214.82     0.0400      28    -327.32    -217.93    -671.04
     12       12      0      0        0.00       0.00       0.00    -1.0000      -1    3118.85    -147.00    -846.85
     13       13      3      3      441.48     116.07     792.83     0.0340      18     465.52     -85.91     268.95
     14       14      0      0        0.00       0.00       0.00    -1.0000      -1    1127.21    -560.73     657.72
     15       15      0      0        0.00       0.00       0.00    -1.0000      -1     356.07   -2147.80      33.19
     16       16      3      3     3441.05     132.56     174.73     0.0540       5   -3268.49   -1062.16   -1301.06
     17       17      3      3     2266.48     301.70     199.26     0.0880      17     204.06    2318.46    -850.43
     18       18      3      3     2725.04     122.04     171.04     0.0580      13    2633.88     182.28     126.16
     19       19      0      0        0.00       0.00       0.00    -1.0000      -1    -159.56       8.03   -1523.82
     20       20      3      3      600.28     202.03    1269.04     0.3800      36     535.18    -329.51    1472.69
     21       21      3      3     2016.38      77.46     317.93     0.1080      11    2071.91     -44.76     955.50
     22       22      3      3      742.85     146.22     154.17     0.0340      21     428.11    -607.68   -1250.51
     23       23      3      3     1774.82      47.07    1058.19     0.7340      46   -1776.17    -115.62     400.73
     24       24      5      5      446.32     250.96    1434.85     0.6580      45    -204.89     223.91   -1617.56
     25       25      3      3     2134.11     254.62     181.21     0.0540      31   -1957.18    -662.31     592.80
     26       26      0      0        0.00       0.00       0.00    -1.0000      -1   -2045.88    -899.48    -816.00
     27       27      3      3     1774.82      47.07    1058.19     0.4480      46   -1768.27     -25.30   -1259.02
     28       28      0      0        0.00       0.00       0.00    -1.0000      -1   -3119.82    -256.56    -264.70
     29       29      3      3     2056.35     473.03     507.10     0.1720      24   -1649.84    1506.27    -654.46
     30       30      3      3     1582.97     319.70     264.55     0.1420      37     826.23   -1143.52    -579.01
     31       31      3      3     3139.28     169.72     223.80     0.1060       6    3128.03     925.47      -7.93
     32       32      0      0        0.00       0.00       0.00    -1.0000      -1   -1031.12     -15.43     385.06
     33       33      3      3     2038.37     910.22     110.56     0.2740      14    2328.36    -594.82     418.15
     34       34      0      0        0.00       0.00       0.00    -1.0000      -1    2711.09    -926.35     -36.85
     35       35      0      0        0.00       0.00       0.00    -1.0000      -1     352.35   -1758.49    1245.32
     36       36      3      3     3139.28     169.72     223.80     0.0940       6    2927.76    1644.74      96.10
     37       37      3      3     2266.48     301.70     199.26     0.0900      17     114.51    2220.69    -767.91
     38       38      0      0        0.00       0.00       0.00    -1.0000      -1    3440.89   -1160.44    -728.66
     39       39      3      3     1985.06     201.38     681.74     0.2100      22    1760.83    1321.14     675.99
     40       40      5      5     2742.13     119.26     591.68     0.0120      32   -2804.01    -657.27    -516.32
     41       41      0      0        0.00       0.00       0.00    -1.0000      -1     772.36      92.34    -917.16
     42       42      3      3     2266.48     301.70     199.26     0.0580      17     504.72    2190.98    -471.53
     43       43      3      3      936.79     117.91     849.58     0.1000       3    -855.97     434.74   -1342.76
     44       44      5      5      446.32     250.96    1434.85     0.6920      45    -180.61     272.99    1005.56
     45       45      5      5      446.32     250.96    1434.85     0.3580      45    -431.56     429.85     -82.91
     46       46      0      0        0.00       0.00       0.00    -1.0000      -1     320.38      82.95    1263.93
     47       47      3      3      441.48     116.07     792.83     0.0260      18     415.02    -180.72    1652.34
     48       48      3      3     2134.11     254.62     181.21     0.5840      31   -2150.88    -767.42     251.53
     49       49      0      0        0.00       0.00       0.00    -1.0000      -1     569.23    -703.79   -1923.39
     50       50      3      3      604.66     132.33     357.39     0.0880      30     546.73     150.68    1243.05
     51       51      3      3      193.02     168.37     707.78     0.2880      33    -127.77    -169.01    -178.34
     52       52      0      0        0.00       0.00       0.00    -1.0000      -1      76.10     625.81     -27.28
     53       53      0      0        0.00       0.00       0.00    -1.0000      -1   -1880.23    1798.13   -1259.33
     54       54      0      0        0.00       0.00       0.00    -1.0000      -1   -2253.05    1909.26   -1304.79
     55       55      5      5     2742.13     119.26     591.68     0.4420      32   -2667.58    -439.75    -743.32
     56       56      3      3      600.28     202.03    1269.04     0.3900      36     545.49    -378.37   -1060.84
