#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
      0         0       3         70.96        117.91        484.10      1.02161      1.06759     0.4800     0.4000     0.4000
      0         0       4        119.23        117.91        439.60      1.06032      1.45064     0.6200     0.2200     0.2200
      0         0       5        148.27        117.91        566.12      0.69234      0.71224     0.8800     0.3800     0.3800
      1         1       3       3886.98        638.43        279.03      1.53262     -2.05548     1.0000     0.9200     0.9200
      1         1       4       4002.78        638.43        298.63      1.05770     -2.71060     1.0000     1.0000     1.0000
      1         1       5       4069.40        638.43        296.54      1.94393     -2.87796     1.0000     0.9600     0.9600
      2         2       3       1665.73        276.79        189.25      1.30677      1.39842     0.8400     0.3600     0.3600
      2         2       4       1687.34        276.79        241.03      1.14286      0.80580     0.9600     0.5400     0.5400
      2         2       5       1740.96        276.79        226.09      1.08241      1.09866     0.9800     0.3200     0.3200
      3         3       3       1758.92        172.09        238.84      0.33357      0.76201     1.0000     0.4400     0.4400
      3         3       4       1836.07        172.09        211.32      0.79500      0.58519     1.0000     0.4800     0.4800
      3         3       5       1894.91        172.09        213.60      0.53608      0.59048     1.0000     0.3400     0.3400
      4         4       3        641.16         78.46        464.33      0.96065      0.92271     0.5800     0.4600     0.4600
      4         4       4        693.03         78.46        387.48      1.28179      1.64444     0.4600     0.2000     0.2000
      4         4       5        588.68         78.46        605.89      0.83597      0.04424     0.8000     0.6200     0.6200
      5         5       3       2559.49        147.10        632.81      0.37199     -9.51394     1.0000     1.0000     1.0000
      5         5       4       2452.18        147.10        518.20      0.59195     -6.60253     1.0000     1.0000     1.0000
      5         5       5       2375.25        147.10        469.58      0.08908     -6.04178     1.0000     1.0000     1.0000
      6         6       3       1145.00         53.70        448.64      0.18529     -0.09746     0.9600     0.5000     0.5000
      6         6       4       1096.98         53.70        505.02      0.35916      0.17236     0.9000     0.6000     0.6000
      6         6       5       1187.10         53.70        518.73      0.05541     -0.84338     1.0000     0.8200     0.8200
      7         7       3        987.95        219.56        492.82      0.45789      0.24562     0.9000     0.6000     0.6000
      7         7       4       1038.57        219.56        542.62      1.16470     -0.12771     0.6200     0.5400     0.5400
      7         7       5        929.78        219.56        863.22      0.13125     -1.85883     0.9800     0.9000     0.9000
      8         8       3       2265.00        146.56        268.57      1.07363     -1.27303     1.0000     0.7800     0.7800
      8         8       4       2215.63        146.56        222.41      1.52263     -0.43531     1.0000     0.6600     0.6600
      8         8       5       2115.67        146.56        237.85      0.96351      0.14188     1.0000     0.5200     0.5200
      9         9       3       1949.95        229.75        186.34      1.08218      0.92240     0.9800     0.3800     0.3800
      9         9       4       1849.36        229.75        217.21      1.90960      0.48436     1.0000     0.4200     0.4200
      9         9       5       1987.42        229.75        230.94      1.75661      0.26965     0.9800     0.5400     0.5400
     10        10       3       4209.15        714.17        263.38      1.15620     -1.72555     1.0000     0.8000     0.8000
     10        10       4       4244.41        714.17        272.40      0.69808     -2.10338     1.0000     0.9000     0.9000
     10        10       5       4134.88        714.17        309.43      1.79040     -3.20062     1.0000     0.9800     0.9800
     11        11       3       4104.79        441.02        149.25      0.16135      0.68043     1.0000     0.5400     0.5400
     11        11       4       4162.56        441.02        260.62      0.86186     -1.83064     1.0000     0.8600     0.8600
     11        11       5       4069.40        441.02        296.54      1.94393     -2.87796     1.0000     0.9800     0.9800
     12        12       3       1028.77        125.44        207.78      0.05729      2.31706     1.0000     0.2000     0.2000
     12        12       4        913.36        125.44        407.96      0.57216      1.40347     0.7800     0.2400     0.2400
     12        12       5        840.83        125.44        355.15      0.61840      1.90886     0.8800     0.1600     0.1600
     13        13       3        358.98        212.17        693.66      1.14076     -0.37669     0.3400     0.6400     0.3400
     13        13       4        312.06        212.17        820.91      0.64936     -1.15868     0.7600     0.8800     0.7600
     13        13       5        249.65        212.17        718.58      0.60683     -0.44161     0.8400     0.6000     0.6000
     14        14       3       4152.76         43.38        329.08      2.12717     -3.11074     0.9400     1.0000     0.9400
     14        14       4       4081.05         43.38        281.78      2.31643     -2.32044     1.0000     0.9600     0.9600
     14        14       5       4134.88         43.38        309.43      1.79040     -3.20062     1.0000     0.9800     0.9800
     15        15       3       2157.26        178.84        209.21      0.72866     -0.14578     1.0000     0.7400     0.7400
     15        15       4       2215.63        178.84        222.41      1.52263     -0.43531     1.0000     0.7400     0.7400
     15        15       5       2115.67        178.84        237.85      0.96351      0.14188     1.0000     0.5400     0.5400
     16        16       3       1102.35         85.27        555.41      1.55031     -1.03140     0.5400     0.7800     0.5400
     16        16       4       1038.57         85.27        542.62      1.16470     -0.12771     0.7600     0.6400     0.6400
     16        16       5       1000.58         85.27        639.47      0.63880     -0.97340     0.9400     0.7000     0.7000
     17        17       3       1145.00         79.36        448.64      0.18529     -0.09746     1.0000     0.6400     0.6400
     17        17       4       1096.98         79.36        505.02      0.35916      0.17236     0.9200     0.5200     0.5200
     17        17       5       1187.10         79.36        518.73      0.05541     -0.84338     1.0000     0.6600     0.6600
     18        18       3        206.96        289.46        399.31      1.00433      1.55088     0.5600     0.3400     0.3400
     18        18       4        155.22        289.46        418.62      0.95041      1.58197     0.7400     0.2400     0.2400
     18        18       5        158.43        289.46        381.22      1.26847      1.96323     0.6000     0.1400     0.1400
     19        19       3       1758.92         40.79        238.84      0.33357      0.76201     1.0000     0.5000     0.5000
     19        19       4       1836.07         40.79        211.32      0.79500      0.58519     1.0000     0.4200     0.4200
     19        19       5       1894.91         40.79        213.60      0.53608      0.59048     1.0000     0.5600     0.5600
